sensornumber,meta:instanceID,oldsensornumber,location:Latitude,location:Longitude,location:Altitude,location:Accuracy,direction,sunorshade,attachment,landcoverclass,vesasitenumber,vesacategory,picture,time,shield,notes
82.0,uuid:d94a2b65-fda8-44e3-9d22-9e38b9248f65,82,39.29813979,-76.69014149,67.0,5.0,0.0,shade,tree,impervious,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad94a2b65-fda8-44e3-9d22-9e38b9248f65%5D%2Fpicture,Tue Jun 14 20:02:43 UTC 2016,basic,Kevin and rugby
139.0,uuid:29523146-79ce-47b8-bcf6-3b8ee53fa055,139,39.28520643,-76.54833725,15.0,9.0,0.0,sun,metal,grass,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A29523146-79ce-47b8-bcf6-3b8ee53fa055%5D%2Fpicture,Mon Jul 18 20:02:53 UTC 2016,basic,nothingtoadd
130.0,uuid:5d85b5bc-0a25-4471-80f0-b3d5c7314b41,130,39.43071333,-76.59663,71.0,4.8,0.0,partial,tree,grass,,,,Thu Jun 30 19:27:07 UTC 2016,basic,Cherry tree in middle of grounds entrance
32.0,uuid:737e87ae-8b1f-4b1b-a3f0-56bbef5b0618,32,39.32055212,-76.5805795,19.0,5.0,0.0,shade,tree,dirt,2.0,f,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A737e87ae-8b1f-4b1b-a3f0-56bbef5b0618%5D%2Fpicture,Fri May 06 13:37:45 UTC 2016,foil,Clifon
10.0,uuid:259a9063-407e-4c12-bc9a-963aa4af5c69,10,39.29039556,-76.58246796,5.0,8.0,0.0,sun,metal,grass,6.0,o,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A259a9063-407e-4c12-bc9a-963aa4af5c69%5D%2Fpicture,Fri May 06 20:31:10 UTC 2016,basic,Half impervious half turf
129.0,uuid:d971aa00-5503-4fbf-81f7-98cbae38cb08,129,39.330684999999995,-76.58026,150.1,6.4,0.0,partial,tree,impervious,,,,Thu Jun 30 19:19:45 UTC 2016,basic,2103 montebello terrace
105.0,uuid:82b6aea0-f87f-42b6-b544-599754e4e71a,105,39.292894,-76.5951514,7.0,6.0,0.0,partial,tree,impervious,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A82b6aea0-f87f-42b6-b544-599754e4e71a%5D%2Fpicture,Fri Jun 17 23:36:20 UTC 2016,basic,nothingtoadd
80.0,uuid:c37a993b-3670-4059-8ca2-9a93d09d6d43,80,39.30041167,-76.59079588,-15.0,5.0,0.0,partial,tree,impervious,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac37a993b-3670-4059-8ca2-9a93d09d6d43%5D%2Fpicture,Fri Jun 17 19:16:07 UTC 2016,basic,Next to atwaters on sph
34.0,uuid:1cd589ce-3fe7-4001-97ff-df53b2f03e41,34h,39.32172729,-76.58595832,22.0,5.0,0.0,shade,tree,dirt,3.0,f,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1cd589ce-3fe7-4001-97ff-df53b2f03e41%5D%2Fpicture,Fri May 06 13:56:15 UTC 2016,foil,Clifton behind tenis  ourt
71.0,uuid:8b860b8b-aed0-4754-ac6e-16ffc10c559d,71,39.300105,-76.58389833,36.3,5.8,0.0,partial,tree,impervious,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A8b860b8b-aed0-4754-ac6e-16ffc10c559d%5D%2Fpicture,Sun Jun 19 17:56:15 UTC 2016,basic,Medium sized cherry tree
35.0,uuid:6bc0ce81-52f5-4f33-95f3-bd794edac977,35,39.303821500000005,-76.59532572,9.0,6.0,0.0,sun,deadwood,grass,15.0,o,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6bc0ce81-52f5-4f33-95f3-bd794edac977%5D%2Fpicture,Fri May 06 16:21:47 UTC 2016,foil,nothingtoadd
106.0,uuid:ba737dfb-22bd-4d89-857c-f9cb372d6fcc,106,39.30117304,-76.69416448,55.0,6.0,0.0,shade,tree,dirt,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Aba737dfb-22bd-4d89-857c-f9cb372d6fcc%5D%2Fpicture,Tue Jun 14 19:27:26 UTC 2016,basic,"Bes site leakin park permanent plot 1 beech tree #2035,"
91.0,uuid:6611c84e-d0de-443e-a1ae-60eca4ddba26,91,39.29908315,-76.64470279,15.0,4.0,0.0,partial,tree,grass,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6611c84e-d0de-443e-a1ae-60eca4ddba26%5D%2Fpicture,Tue Jun 14 13:59:07 UTC 2016,basic,Pocket park across from Bes site at mount lafayette
131.0,uuid:1afd5796-7b96-4278-ab54-c5fe4677b3ae,131,,,,,0.0,partial,tree,grass,,,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1afd5796-7b96-4278-ab54-c5fe4677b3ae%5D%2Fpicture,Thu Jul 21 16:15:50 UTC 2016,basic,"Amazing grace in tree, with thermometer 47"
19.0,uuid:630ebc51-e796-42f6-9797-cc50c4c7ad7a,19,39.32441664,-76.61849592,35.0,4.0,0.0,sun,metal,grass,19.0,o,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A630ebc51-e796-42f6-9797-cc50c4c7ad7a%5D%2Fpicture,Thu May 05 21:58:03 UTC 2016,foil,Wyman park dell open
42.0,uuid:99cf2d42-0327-43b7-9939-46cf92de5658,42,39.32079686,-76.57979403,7.0,4.0,0.0,sun,deadwood,grass,2.0,o,https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_TempSensorMay2016_1462415296%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A99cf2d42-0327-43b7-9939-46cf92de5658%5D%2Fpicture,Fri May 06 13:31:53 UTC 2016,foil,nothingtoadd
