sensornumber,Lat,Lon,Distance to park,Elevation,Albedo,Land Temperature,Tree density,Tree density (50ft),Tree density (100ft),Tree density (500ft)
82,39.29813979,-76.69014149,87.3306991537,113.811424255,0.108129015748,41.7927398682,0.0,0.92,0.74,0.1864
139,39.28520643,-76.54833725,681.976749394,26.0210552216,0.124727775591,41.6950874329,0.0,0.0,0.0,0.1216
130,39.43071333,-76.59663,6659.56009608,,0.0882153149606,35.4607391357,,,,
32,39.32055212,-76.5805795,0.0,45.694683075,0.0818099409449,38.6173400879,1.0,1.0,0.71,0.2868
10,39.29039556,-76.58246796,0.0,35.600730896,0.0992859251969,39.6937484741,0.0,0.0,0.01,0.166
129,39.330685,-76.58026,107.447629266,50.8985939026,0.086048996063,40.4710006714,0.0,0.12,0.49,0.2584
105,39.292894,-76.5951514,161.823520874,20.8017024994,0.122356397638,42.798374176,0.0,0.0,0.0,0.146
80,39.30041167,-76.59079588,625.212137164,22.608877182,0.12725265748,42.129611969,0.0,0.0,0.0,0.0236
34,39.32172729,-76.58595832,0.0,55.4589118958,0.0881630511811,38.9157333374,0.0,0.16,0.04,0.1464
71,39.300105,-76.58389833,514.81210004,25.7242641449,0.0989056299213,45.0294685364,0.0,0.0,0.06,0.0512
35,39.3038215,-76.59532572,240.278744182,22.358833313,0.0922265354331,43.5142021179,0.0,0.0,0.01,0.1488
106,39.30117304,-76.69416448,0.0,91.3724441528,0.0768202952756,25.1759967804,1.0,0.96,0.99,0.7364
91,39.29908315,-76.64470279,70.5556287389,52.3896369934,0.0960839173228,43.1038589478,0.0,0.0,0.0,0.1916
131,,,,52.3896369934,0.0960839173228,43.1038589478,0.0,0.0,0.0,0.1916
19,39.32441664,-76.61849592,0.0,46.3610305786,0.0951101377953,38.1066856384,0.0,0.52,0.84,0.4292
42,39.32079686,-76.57979403,0.0,39.0374221802,0.0966132283465,38.4573669434,1.0,0.4,0.14,0.1076
27,39.2911906,-76.57798459,0.0,8.60387134552,0.112008405512,40.488899231,0.0,0.0,0.0,0.2072
5,39.32425584,-76.65492582,0.0,103.09122467,0.107344527559,38.2760734558,0.0,0.0,0.02,0.376
88,39.297725,-76.61494667,3.33380808743,27.7930374146,0.121414547244,42.2063446045,1.0,1.0,0.69,0.1376
72,39.29543993,-76.63713566,58.3503093321,40.6489486694,0.10958242126,42.9776229858,0.0,0.04,0.04,0.1764
70,39.28983277,-76.58559113,94.0248818408,31.4731712341,0.119475374016,42.3891906738,0.0,0.0,0.26,0.1388
40,39.28800648,-76.58210794,0.0,18.0615158081,0.10944992126,38.9036865234,0.0,0.0,0.0,0.1012
132,39.29113046,-76.57785187,0.0,7.56211948395,0.112008405512,40.488899231,0.0,0.0,0.0,0.2508
48,39.3078191,-76.58922017,157.948007173,29.0741138458,0.113129094488,42.5806617737,0.0,0.0,0.0,0.1084
143,,,,29.0741138458,0.113129094488,42.5806617737,0.0,0.0,0.0,0.1084
120,,,,29.0741138458,0.113129094488,42.5806617737,0.0,0.0,0.0,0.1084
33,39.30389036,-76.59601871,187.055175506,28.5233287811,0.114567755906,43.5346832275,1.0,0.96,0.8,0.2284
54,39.29622614,-76.6417531,0.0,45.4869880676,0.094089015748,42.4540290833,1.0,0.92,0.53,0.1592
102,39.284605,-76.582855,161.926652037,12.2811384201,0.115629055118,43.7335968018,1.0,0.24,0.21,0.0856
124,39.290215,-76.56466667,489.801828962,23.218503952,0.112482716535,44.8088607788,0.0,0.32,0.24,0.072
127,39.37762833,-76.57848833,625.439316216,,0.109409566929,41.5618362427,,,,
64,39.3650843,-76.62774377,923.537582689,118.694747925,0.0831138385827,36.9554786682,0.0,0.48,0.5,0.584
79,39.31451145,-76.63413474,191.542607524,66.3492736816,0.122951811024,42.3096008301,0.0,0.0,0.02,0.0684
13,39.32313787,-76.62641183,0.0,44.4897575378,0.0892431102362,39.0301208496,1.0,1.0,0.98,0.4716
69,39.31286167,-76.58404833,344.983905202,36.4134025574,0.114791909449,43.6575698853,0.0,0.08,0.02,0.118
28,39.29219819,-76.58834718,0.0,34.5474052429,0.0988104133858,42.2653617859,0.0,0.0,0.02,0.1408
83,39.2551054,-76.7015697,1993.37754152,0.0,0.103234074803,41.3306121826,0.0,0.0,0.0,0.0
60,39.30517667,-76.58380833,171.668331998,33.9651489258,0.109366082677,45.0236625671,0.0,0.2,0.09,0.0844
68,39.47940841,-76.70629423,12659.4435425,,0.0763726968504,25.7704143524,,,,
74,39.33309796,-76.63749348,298.149997809,65.5239105225,0.10053980315,41.9287528992,0.0,0.32,0.14,0.0368
47,39.29838598,-76.58276143,501.817036017,23.7250576019,0.115526003937,45.3395652771,0.0,0.0,0.04,0.0252
63,39.37935723,-76.64003222,1317.37116553,,0.0739875984252,25.1818389893,,,,
